date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:53:51	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Jan%202022%2013:23:49%20GMT	http://103.53.42.56/robots.txt		(from )
18:53:51	27257/27257	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/index.html	(from )
18:53:52	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/Users/nmang/OneDrive/Documents/mangla.in2/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from http://103.53.42.56/)
18:53:53	18484/18484	---M--	200	added ('OK')	font/woff2	date:Fri,%2018%20Jun%202021%2010:33:50%20GMT	http://103.53.42.56/fonts/roboto-black-webfont.woff2	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/fonts/roboto-black-webfont.woff2	(from http://103.53.42.56/)
18:53:56	18820/18820	---M--	200	added ('OK')	font/woff2	date:Fri,%2018%20Jun%202021%2010:33:50%20GMT	http://103.53.42.56/fonts/roboto-bold-webfont.woff2	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/fonts/roboto-bold-webfont.woff2	(from http://103.53.42.56/)
18:53:58	303754/303754	---M--	200	added ('OK')	text/css	date:Fri,%2018%20Jun%202021%2010:33:42%20GMT	http://103.53.42.56/css/style.min.css	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/css/style.min.css	(from http://103.53.42.56/)
18:53:59	4170/4170	---M--	200	added ('OK')	image/png	date:Thu,%2013%20May%202021%2018:16:26%20GMT	http://103.53.42.56/images/favicon.png	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/favicon.png	(from http://103.53.42.56/)
18:54:00	27257/27257	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/index.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/index-2.html	(from http://103.53.42.56/)
18:54:00	19228/19228	---M--	200	added ('OK')	font/woff2	date:Fri,%2018%20Jun%202021%2010:33:50%20GMT	http://103.53.42.56/fonts/roboto-regular-webfont.woff2	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/fonts/roboto-regular-webfont.woff2	(from http://103.53.42.56/)
18:54:00	21590/21590	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:35:58%20GMT	http://103.53.42.56/about-us.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/about-us.html	(from http://103.53.42.56/)
18:54:00	24291/24291	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/industries.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/industries.html	(from http://103.53.42.56/)
18:54:01	17884/17884	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/clients.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/clients.html	(from http://103.53.42.56/)
18:54:01	8220/8220	---M--	200	added ('OK')	image/png	date:Thu,%2013%20May%202021%2018:16:22%20GMT	http://103.53.42.56/images/mangla-hoist-logo.png	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/images/mangla-hoist-logo.png	(from http://103.53.42.56/)
18:54:01	28962/28962	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/hot_cranes.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/hot_cranes.html	(from http://103.53.42.56/)
